name,i,j,t_air,rh,water_km,building,tree,urban
District 1,4,5,33.0,75,1.0,0.85,0.10,1
District 3,4,6,32.5,76,2.5,0.80,0.12,1
District 5,3,5,32.8,77,1.5,0.82,0.08,1
District 10,4,7,32.6,76,3.0,0.78,0.10,1
District 7,5,4,31.5,80,0.8,0.60,0.25,1
Binh Thanh,5,6,32.4,76,1.2,0.72,0.15,1
Tan Binh,3,7,32.9,74,5.0,0.80,0.10,1
Go Vap,3,8,32.7,75,6.0,0.75,0.12,1
Thu Duc Industrial,6,7,34.5,72,4.0,0.92,0.03,1
Binh Tan Industrial,2,6,34.2,72,7.0,0.90,0.04,1
Tao Dan Park,5,5,30.5,80,1.5,0.20,0.70,1
Can Gio,7,1,29.0,88,0.2,0.05,0.85,0
Cu Chi Rural Fringe,1,9,30.0,82,9.0,0.15,0.55,0
Nha Be Peri-urban,6,3,30.8,83,0.5,0.30,0.45,0
